Subject;IndAlpha_ReportedBefore;IndBeta_ReportedBefore;IndMu_ReportedBefore;SocAlpha_ReprotedBefore;SocBeta_ReportedBefore;SocMu_ReportedBefore;IndLL_ReportedBefore;SocLL_ReportedBefore;Agegroup;Sex;Age;OrderConditions;ResistanceToPeerInfluence;NeedForArousal;ARQ_Thrillseeking_Perception;ARQ_Rebellious_Perception;ARQ_Reckless_Perception;ARQ_Antisocial_Perception;ARQ_Thrillseeking_Behavior;ARQ_Rebellious_Behavior;ARQ_Reckless_Behavior;ARQ_Antisocial_Behavior;BISBAS_Drive;BISBAS_Funseeking;BISBAS_Reward;BISBAS_Bis;BIS11_Scale1;BIS11_Scale2;BIS11_Scale3;BIS11_Scale4;IRI_PerspectiveTaking;IQ_Plus;OthersFaceName;TryBestHowMuch;HowNiceTask;HowHardTask;HowMuchAttentiontoAmount;HowMuchAttentiontoAmbiguity;HowMuchAttentiontoRisk;HowMuchAttentiontoOther;GuessWhatsUnderAmbiguity1;GuessWhatsUnderAmbiguity2;GuessWhatsUnderAmbiguity3;Peer_Believe;Peer_Wise;Peer_Nice;Peer_Old;Peer_Smart;EducationallevelAdolescents;EducationallevelAdults;Occupation_mother;Occupation_father;School;VAR00001;Like_Sociometrics;Dislike_Sociometrics;Impact_Sociometrics;Pref_Sociometrics;ProbLike_Sociometrics;ProbDisl_Sociometrics;ProbImp_Sociometrics;ProbPref_Sociometrics;ZLike_Sociometrics;ZDislike_Sociometrics;ZImpact_Sociometrics;ZPref_Sociometrics;ZStatus_Sociometrics;PStat1_Sociometrics;GRDStat1_Sociometrics;NSymLike_Sociometrics;NSymDisl_Sociometrics
417;0.56;0.41;0.30;0.55;0.46;0.42;46.93;68.35;4;0;25.36;2;2.50;59.38;2;2;3;3;1;0;1;2;11.00;10.00;17.00;25.00;22;18;26;66;21;#NULL!;18V_24.bmp;7.00;9.00;0.00;9.00;8.00;7.00;3.00;2.00;1.00;2.00;2.00;5.00;5.00;1.00;4.00;#NULL!;7;huisvrouw;bouwvakker;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!
418;0.34;0.08;0.14;0.31;1.00;0.10;41.79;11.45;4;0;21.20;1;3.10;41.88;3;3;4;2;1;1;0;2;15.00;14.00;19.00;28.00;18;17;20;55;30;#NULL!;72V_21.bmp;8.00;2.00;3.00;2.00;8.00;3.00;2.00;1.00;1.00;1.00;4.00;2.00;6.00;2.00;5.00;#NULL!;3;Logopediste;Medical Researcher bij Philips;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!
419;0.94;0.69;0.37;0.91;0.62;0.50;23.02;34.10;4;0;25.63;2;3.60;65.00;2;2;3;2;1;4;1;2;15.00;13.00;20.00;14.00;21;10;20;51;25;#NULL!;48V_21.bmp;5.00;0.00;0.00;0.00;7.00;9.00;2.00;2.00;2.00;2.00;3.00;4.00;3.00;1.00;3.00;#NULL!;7;leerkracht;hoofd afdeling - financien;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!
420;0.46;0.01;0.52;0.69;0.26;0.79;102.25;88.12;4;1;23.30;1;3.20;75.50;1;2;2;2;2;3;3;2;13.00;11.00;18.00;19.00;21;16;24;61;22;#NULL!;60M_27.bmp;4.00;0.00;9.00;9.00;0.00;0.00;0.00;1.00;1.00;1.00;0.00;4.00;0.00;1.00;0.00;#NULL!;4;gevangenisbewaarder;zelfstandig ondernemer;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!
421;0.61;0.32;0.60;0.87;0.39;0.69;82.48;53.16;4;0;22.20;2;3.70;60.38;2;3;4;3;1;3;1;1;12.00;14.00;17.00;19.00;18;15;24;57;18;#NULL!;35V_22.bmp;9.00;8.00;3.00;3.00;3.00;3.00;1.00;2.00;2.00;1.00;5.00;4.00;7.00;2.00;5.00;#NULL!;4;;vrachtwagenmonteur;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!
422;0.33;0.64;0.19;0.37;0.66;0.22;37.11;40.78;4;0;21.67;1;3.30;28.25;2;2;4;2;1;2;1;2;12.00;11.00;18.00;21.00;19;18;27;64;28;#NULL!;51V_22.bmp;9.00;7.00;1.00;6.00;9.00;9.00;0.00;2.00;2.00;2.00;2.00;3.00;5.00;2.00;3.00;#NULL!;3;Manager Business Unit Snijdend in een ziekenhuis;Docent Engels op een middelbare school;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!
423;0.43;0.66;0.19;0.39;0.67;0.18;33.16;31.74;4;0;21.37;2;3.30;34.13;2;2;4;2;1;3;1;2;16.00;8.00;18.00;24.00;17;17;18;52;16;#NULL!;52V_20.bmp;7.00;6.00;6.00;7.00;8.00;8.00;4.00;1.00;1.00;2.00;3.00;2.00;3.00;1.00;3.00;#NULL!;3;pedicure;financieel planner;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!
424;0.56;0.66;0.44;0.55;0.44;0.30;65.88;47.66;4;0;21.83;1;3.30;74.88;2;3;4;2;1;2;1;3;10.00;13.00;18.00;17.00;30;25;27;82;27;#NULL!;48V_21.bmp;7.00;4.00;2.00;8.00;8.00;8.00;2.00;2.00;3.00;1.00;2.00;3.00;6.00;3.00;4.00;#NULL!;3;Geriatrisch verpleegkunde;Manager in de forensische zorg;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!
425;0.47;0.80;0.31;0.45;0.82;0.28;49.12;46.59;4;0;21.32;2;2.60;15.13;3;3;4;2;1;1;0;2;10.00;10.00;15.00;28.00;18;14;24;56;24;#NULL!;35V_22.bmp;7.00;3.00;2.00;7.00;8.00;8.00;2.00;1.00;1.00;2.00;2.00;3.00;6.00;3.00;3.00;#NULL!;3;Basisschooljuf;Orthopedagoog;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!
427;0.37;-0.10;0.31;0.39;-0.01;0.20;82.43;49.24;4;0;21.54;2;2.90;16.00;1;2;4;3;1;3;1;1;10.00;12.00;19.00;23.00;20;14;20;54;21;#NULL!;18V_24.bmp;6.00;5.00;2.00;6.00;8.00;6.00;2.00;3.00;2.00;2.00;1.00;1.00;5.00;3.00;3.00;#NULL!;3;Intern Begeleider Basisschool;Eigen bedrijf;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!
